question,answer,context,chunk_id
国家自然科学奖、国家技术发明奖、国家科学技术进步奖一等奖及以上获得者的身份要求是什么？,,8.国家自然科学奖、国家技术发明奖、国家科学技术进步奖一等奖及以上获得者(第1完成人)。,10
哪些国家的最高学术权威机构院士在文本中被列出？,,6.美国、俄罗斯、英国、德国、法国、日本、加拿大、澳大利亚国家最高学术权威机构院士。,11
上一年度成都市重点产业链营业收入30亿元(含)以上企业的首席技术官，其上一年度工资性收入需达到多少万元以上？,,2.上一年度，成都市重点产业链营业收入30亿元(含)以上企业(不含房地产开发企业)主要负责人(每个企业限2人)、首席技术官，且上一年度工资性收入在150万元(含)以上。,12
机器人动力学算法工程师需要掌握哪些编程语言？,,"学或 CAD 引擎；深刻理解面向对象   
的编程思维和设计模式，熟悉 3D 数   
学，熟练掌握空间矩阵变换算法、渲   
染优化相关算法与数据结构；在机   
器人编程、仿真或自动化生产领域   
有相关经验，熟悉机器人仿真软件   
和离线编程工具；熟练掌握多进程、 
多线程开发；熟悉基础网络协议。
动态紧缺 ★
高新区
成华区
机器人动
力学算法   
工程师
机械电子
工程、一
般力学与   
力 学 技      
术、控制
科学与工
程相关专
业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟悉工业机器人动力学，精通模型   
辨识、振动抑制、传动链设计、最优   
化理论等其中 1~2 项关键技术；掌   
握机器人运动学、动力学、轨迹规   
划、控制、传动设计等基础知识； 掌   
握 C 语言编程，具备一定的 Python   
语言编程能力。
动态紧缺 ★
高新区
成华区
机器人规
划导航工   
程师
计算机科
学与技术
相关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟练掌握经典控制理论、状态机、图   
搜索算法、强化学习、曲线拟合等相   
关知识；熟练掌握  Linux、C++、   
Python；熟悉 ROS，Gazebo 仿真； 
具备丰富的导航规划算法经验，实   
现并优化过两个以上的导航模块。",13
岗位“机载系统开发工程师”要求精通哪些编程语言？,,"息处理相   
关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
具备丰富的通信信号调制、解调、编   
译码及通信信号定位处理工作经   
验；熟悉当前卫星通信体制；掌握卫   
星通信原理及数字信号处理基本理   
论 和 技 术 ； 熟 练 使 用  Matlab 、   
Simulink、C++等软件；具有较强   
的团队协作能力。
结构紧缺 ★
高新区
青羊区
金牛区
重点产业链人才开发目录◎◎第二章
-  21  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
机载系统
开发工程
师
计算机科
学与技     
术、通信
工程、电
子信息科
学技术相   
关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
精通 TCP/IP 原理和 HTTP 协议，熟   
悉 Linux 操作系统、数据库系统、   
通信中间件、GIS 等方面开发应用知   
识，具备大型互联网平台开发相关   
经验；精通数据结构和算法，具备优   
秀的 C/C++、Shell、Java 等一种   
或多种语言编程和阅读能力，具备   
航空相关行业软件开发经验。
数量紧缺 ★ 高新区
驾驶舱显
示系统工   
程师
电子信息
科学与技
术、计算
机科学与
技术、软
件工程相   
关专业
本科及以
上学历，",14
《成渝地区双城经济圈人才开发目录》中，对于牛肉制品研究员岗位的专业要求是什么？,,"新意识。
数量紧缺
动态紧缺
★★
重庆市
成都市
成渝地区双城经济圈人才开发目录◎
四、食品产业集群
◎第四章
-  149  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
养殖管理
技术员
智慧牧业
科学与工
程相关专
业
本科及以
上学历，
5 年及以
上相关工   
作经历
热爱畜牧行业，熟悉产业互联网模   
式，掌握肉牛养殖技术，擅长肉牛的   
科学养殖管理；具有极强的沟通、协   
调、抗压及决策能力。
结构紧缺
供给紧缺
★★
重庆市
成都市
农产品营
销总监
市场营销
相关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉农业相关的政策法规，熟识农   
产品销售管理模式；具备零售、经销   
商及互联网销售管理经验，对农业   
市场营销有深刻认知，有良好的营   
销策划及推广能力。
供给紧缺
动态紧缺
★★
重庆市
成都市
牛肉制品
研究员
食品质量
与安全、
食品科学
与工程相   
关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉食品行业法律法规、食品供应   
流程和食品安全管理等领域；具有   
创新思维及较强的产品整合能力，    
能积极推进落实产品开发与落地；    
具备全面参与牛肉制品研发经验。
数量紧缺
结构紧缺
★★
重庆市
成都市
火锅底料",15
图灵奖、菲尔兹奖和普利兹克奖分别是哪些领域的奖项？,,3.图灵奖、菲尔兹奖、普利兹克奖获得者。,16
县市新城新引进人才生活补贴与哪项市级补贴不重复享受？,,"第二十一条  县市新城可结合区域产业发展需要，放宽新引进硕士、本科应届毕业生毕业院校及年限限制，并参照本办法给予相应的县市新城新引进人才生活补贴。

第二十二条  本办法所称“县市新城”包括：简阳市、都江堰市、彭州市、邛崃市、崇州市、金堂县、大邑县、蒲江县。

第二十三条  本办法规定的补贴，与成都市市级博士后资助、优秀海外高校毕业生创新创业补贴不重复享受。新引进人才安家补贴与县市新城新引进人才生活补贴不重复享受。

第二十四条  本办法自2026年1月1日起施行，有效期 5年。此前政策规定与本办法不一致的，以本办法为准。《成都市人力资源和社会保障局成都市财政局关于印发〈成都市企业引进培育急需紧缺专业技术人才补贴实施办法〉的通知》（成人社发〔2022〕177号）同步废止。

第二十五条  本办法由市委组织部、市人社局、市财政局按职责分工解释。",17
《指引》中重点产业链人才开发目录将产业类别细分为多少个重点发展的产业方向？,,"求，务求引导人才按需流动，与重点产业和重点产业链精准“对接联姻”。
四是坚持区域导向原则。《指引》的编制坚持深入贯彻国家区域协调发展战略  
和省委“四化同步、城乡融合、五区共兴”战略部署，重点突出成渝地区双城经  
济圈建设、成都都市圈发展重点任务，对每类岗位明确区域用人导向， 引导各类  
人才有序按需流动和市场化高效配置。
三、编制体例
《指引》分为编制说明、重点产业链人才开发目录、重点领域（行业）人才  
开发目录、成渝地区双城经济圈人才开发目录、德阳市重点产业人才招引目录、 
眉山市重点产业人才招引目录、资阳市重点产业人才招引目录七部分内容。
1.编制说明主要包含《指引》编制的目的、原则、体例和方法，以及对《指  
引》整体内容的框架性描述。
2.重点产业链人才开发目录根据产业链前端、产业链中端、产业链后端梳理，  
进一步细分产业类别，主要包括行业（专业）类别、岗位名称、专业要求、资历  
要求、能力要求、人才紧缺类型、人才紧缺指数、区域导向。
（1）产业类别：细分为人工智能、低空经济、智能网联汽车、集成电路、新 
型显示、软件和信息服务、航空航天、轨道交通、生物医药、银发经济、先进能  
源、新型材料、文化旅游、平台经济、现代物流、绿色食品精深加工等 16 个重点 
发展的产业方向。
（2）岗位名称：根据《中华人民共和国职业分类大典》及国家新发布的新职",18
食品安全检验检测技术员的专业要求是什么？,,"-  105  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
食品安全
检验检测   
技术员
食品科学
与工程、
化学工程
与工艺相   
关专业
本科及以
上学历，
2 年及以
上相关工   
作经历
有较强的食品、农产品检验理论基   
础知识，熟悉食品、农产品分析仪器   
设备，具备分析问题、解决问题的能   
力；有较强的食品分析、分析化学、   
农学专业理论知识及分析能力，熟   
悉食品、农产品检验，对食品行业或   
农产品行业有一定了解。
数量紧缺
动态紧缺
★★
温江区
彭州市
崇州市
绿色食品
检验认证   
工程师
检验检     
测、食品
科学与工
程相关专
业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉绿色食品认证管理的政策法规   
和标准体系，熟悉国家质量认证体   
系以及认证方法；熟悉质量检测的   
相关标准以及检验方法；熟悉绿色   
食品认证流程，熟练使用产品质量   
检验的工具以及仪器。
结构紧缺 ★
青白江区    
郫都区
邛崃市
蒲江县
微生物检
测技术员
生物工     
程、食品
检验相关   
专业
本科及以
上学历，
1 年及以
上相关工   
作经历
熟悉食品样品的检测处理，掌握 ISO   
体系、微生物、理化指标的检测相关",19
遥感工程师（激光雷达方向）需要具备哪些领域的理论基础？,,"遥感工程
师（激光   
雷达方
向）
无线电物
理、光电   
信 息 工      
程、摄影
测量与遥
感、测绘
工程相关   
专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟悉 GEOS、OpenCV、Eigen、PCL、 
PDAL 等算法库；精通 C/C++语言， 
熟悉 Python、Matlab 或 IDL 语言   
及其算法库；具备良好的英语基础， 
能熟练阅读英文技术文档、论文或   
专利；熟练使用 SVN、Git 等版本管   
理软件及常用缺陷管理工具；具备   
电磁辐射、光学成像、计算视觉、摄   
影测量、空间计算、数据融合等领域   
的理论基础。
数量紧缺
供给紧缺
动态紧缺
★★★
高新区
双流区
彭州市
光通讯开
发工程师
光电信息
工程、通
信工程、
物理电子
学相关专
业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
具备光通信相关产品设计工作经   
验；熟练使用相关产品设计软件/工   
具；具备较强的动手及分析能力；具   
备良好的团队合作及沟通能力；具   
备良好的学习能力。
结构紧缺
供给紧缺
动态紧缺
★★★
高新区
青羊区
金牛区
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
机器人调
试工程师
机器人工
程、自动
化相关专
业
本科及以",20
《成都市人才开发指引（2025）》中，对语言联络专员的能力要求里提到的优秀英语能力需达到什么水平？,,"等编程工具。
动态紧缺 ★
高新区
青羊区
金融应用
架构师
软件工     
程、金融
学相关专
业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉传统商业银行系统架构或互联   
网金融体系架构，具备较为丰富的   
商业银行科技规划或软件设计经   
验；熟悉互联网金融业务模式，深入   
理解互联网金融产品逻辑；对互联   
网、大数据和云计算技术有较为深   
刻的理解；具备良好的团队合作精   
神和沟通能力。
结构紧缺 ★
高新区
青羊区
成都市人才开发指引（2025）
-  120  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
语言联络   
专员
翻译、英
语、国际
事务与国
际关系相   
关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
具有涉外交流或翻译工作经验（如   
奥运会、大运会等国际大型体育赛   
会工作经验或具有海外工作经验）；   
具备优秀的英语能力（专业八级或   
同等水平）；掌握公文写作的基础知   
识。
数量紧缺
动态紧缺
★★ 东部新区
志愿者指
挥调度主
管
体育类相   
关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉有关体育赛事的法律法规和政   
策，掌握体育赛事运营管理领域相   
关理论知识，对赛事组织的流程和",21
OLED工艺研发工程师需要具备哪些能力要求？,,"★★★
天府新区    
高新区
双流区
郫都区
OLED 工
艺研发工   
程师
材料、物   
理 、 化      
学、光学
工程相关   
专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟悉新技术、新工艺开发，能进行新   
产品设计检讨和不良分析与改善，    
以及新技术、新工艺的推进；熟悉新   
工艺导入过程中光学、电子代码调   
试及不良分析；具备良好的沟通能   
力、团队工作能力。
结构紧缺
动态紧缺
★★
高新区
双流区
郫都区
驱动设计   
工程师
电气工     
程、电子   
信 息 工      
程、微电
子、集成
电路工程
相关专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟悉方案元器件选型，熟悉平台驱   
动系统设计（将视频数字信号转换   
为液晶需要的液晶驱动电压信号），   
能提出电路方案及驱动方式；能进   
行电路原理图设计，能组织开展硬   
件电路调试、程序设计和调试；熟悉   
数据处理程序设计及面板时序控   
制；了解面板特性，能牵头设计优化   
电路方案。
数量紧缺
结构紧缺
★★
郫都区
新津区
崇州市
重点产业链人才开发目录◎
5.2 生产制造
◎第二章
-  41  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向",22
《成都市人才分类目录》于何时正式面向社会公开发布？,,8月29日，《成都市人才分类目录》(以下简称《目录》)正式面向社会公开发布，明确6大类共224项人才支持类型，面向五湖四海持续彰显礼才之心，释放城市礼遇，广聚天下英才。,23
乡村振兴类包括哪些内容？,,(六)乡村振兴类,24
药理毒理总监需要具备多少年的相关工作经历？,,"人才紧
缺指数
区域
导向
药理毒理   
总监
药理、毒
理、药代
相关专业
硕士研究
生及以上
学历，5
年及以上
相关工作
经历
具备领导药理毒理功能在新药开发   
/申报项目中的经验，具有多个新药   
临床前项目申报经验；熟悉中国、美   
国与欧盟等非临床研究相关法规；    
具备良好的团队管理经验和跨部门   
沟通及协调能力。
结构紧缺
供给紧缺
★★
高新区
武侯区
温江区
双流区
有机合成
研究员
有机化     
学、药物
化学、应
用化学、
制药工程
相关专业
硕士研究
生及以上
学历，5
年及以上
相关工作
经历
熟悉有机合成研究专业知识，独立   
进行化合物的合成、分离、纯化， 独   
立解析 NMR、MS、HPLC 等图谱， 
明确实验结果优劣成败，根据其信   
息反馈指导实验；熟悉 PEG、多肽   
等链状聚合物的性能；能够根据反   
应实验现象和对反应过程中的检测   
数据进行总结和科学分析，并能给   
出合理的建议；能够独立承担中等   
难度的课题任务，对课题进行合理   
规划；能够对项目路线进行筛选。
数量紧缺
结构紧缺
★★
高新区
温江区
双流区
核酸合成
研发总监
化学、生
物化学、
化工相关   
专业
硕士研究
生及以上
学历，5
年及以上
相关工作
经历
熟练掌握核酸化学合成、修饰，能够",25
近2届亚运会、全运会、大运会银牌、铜牌获得者或亚锦赛金牌获得者，以及哪些教练员符合相关输送培养条件？,,1.近2届亚运会、全运会、大运会银牌、铜牌获得者或亚锦赛金牌获得者，近8年输送培养出亚运会、全运会、大运会银牌、铜牌获得者或亚锦赛金牌获得者的教练员。,26
足式机器人规划控制算法工程师需要具备什么学历和资历要求？,,"分析工具（Nsight）； 掌握 CUDA   
C/C++，或 OpenCL，或 OpenACC   
等并行编程语言； 熟悉至少一种   
Nvdia GPU 硬件架构；熟悉算法设   
计，对嵌入式软件编程有深入了解； 
具有良好的团队协作精神、善于沟   
通，能吃苦耐劳，能承受工作压力。
结构紧缺 ★ 天府新区    
高新区
重点产业链人才开发目录◎
1.3 产品应用
◎第二章
-  13  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
足式机器
人规划控
制算法工   
程师
计算机、
自动化、
机电一体
化、机械
工程相关   
专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟练掌握 MPC/NMPC 等控制器的   
开发流程，能负责足式机器人控制   
系统的建模、控制器的开发与测试、   
行走控制系统的改进与优化；对强   
化学习、模仿学习等足式机器人开   
发有一定的了解。
结构紧缺
供给紧缺
动态紧缺
★★★
天府新区    
高新区
双流区
机械结构   
工程师
机械工程
相关专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟悉常用材料的特性、表面处理工   
艺，了解机加工的工艺；熟悉电机、 
减速器、丝杆、滑块导轨、传感器、",27
新型给药系统制剂研发总监需要具备多少年及以上相关工作经历？,,"建临床药物安全平台。
数量紧缺
结构紧缺
供给紧缺
★★★
高新区
武侯区
温江区
双流区
新型给药
系统制剂
研发总监
药剂学、
药学相关   
专业
博士研究
生及以上   
学历，
10 年及
以上相关
工作经历
具有丰富的制药企业的新型给药系   
统(脂肪乳、脂质体、微球等)相关的   
处方工艺开发和生产放大经验；具   
有熟练的英文文献阅读能力，对文   
献或研究结果能进行综合分析和判   
断；熟悉脂肪乳、脂质体、磷脂复合   
物和微球等制剂产品的研发和生产   
所用设备的原理、性能； 熟悉 FDA、 
ICH 以及中国的关于脂肪乳、脂质   
体、微球等新型制剂的指导原则。
数量紧缺
结构紧缺
供给紧缺
★★★
高新区
武侯区
温江区
双流区
医药中间
体/原料
药物研发   
总监
化学工程
与工艺、   
制药工
程、药     
学、有机
化学相关   
专业
博士研究
生及以上
学历，8
年及以上
相关工作
经历
熟悉国家药品注册办法；熟悉医药   
中间体或原料药小试工艺、中试放   
大研究工作，能对工艺进行中试规   
模的工艺进行优化和完善，熟悉工   
艺交接的内容；了解原料或制剂国   
内或国际注册，熟悉计划统筹、开   
展、跟踪、改进、发补等工作； 能完   
成药品申报材料的撰写、整理和内   
部审核。
数量紧缺
供给紧缺",28
近5年，总部在蓉的中国500强企业主要负责人每个企业限几人？,,1.近5年，总部在蓉中国500强企业(以中国企业联合会、中国企业家协会按国际惯例组织评选、发布的中国企业排行榜上的企业为准)主要负责人(每个企业限2人)。,29
天府新区对AI应用开发工程师的专业要求是什么？,,"★★ 天府新区    
高新区
AI 应用
开发工程
师
人工智     
能、软件
工程相关   
专业
本科及以
上学历，
3 年及以
上相关工   
作经历
熟悉 Python、Java 或其他主流编   
程语言，熟悉数据结构、算法、操作   
系统、计算机网络等基础知识；深入   
理解机器学习、深度学习的基本原   
理 和 算 法 ， 熟 悉  TensorFlow 、   
PyTorch 等深度学习框架；熟悉各   
种大语言模型（如 GPT、BERT 等） 
的原理、架构和应用场景；掌握基本   
的数据处理和分析技能；熟悉 Linux   
操作系统及相关命令进行安装和调   
试；能够结合业务需求，提出创新的   
解决方案；具备 ChatGPT、OpenAI   
等应用经验。
结构紧缺
动态紧缺
★★
高新区
青羊区
武侯区
成华区
重点产业链人才开发目录◎◎第二章
-  87  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
前端高级
开发工程
师
软件工程
相关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
具备良好的设计和编码能力，热爱   
写代码，能产出高质量的设计和代   
码；掌握 Web 前端开发技术，包括   
JavaScript（含 ES6）、HTML、CSS、",30
世界技能大赛银牌和铜牌获得者是谁？,,1.世界技能大赛银、铜牌获得者。,31
化及电力设计相关岗位要求具备多少年及以上相关工作经历？,,"化及电力
设计相关   
专业
硕士研究
生及以上
学历，5
年及以上
相关工作
经历
具 备 单 体   30MWp   或 累 计   
200MWp 光伏电站系统设计经验；  
具有丰富的项目实施管理经验，对   
光伏行业发展具有前瞻性；熟悉电   
力规范及建筑规范 ， 熟练运用   
pvsyst、Retscreen、meteonorm   
专业软件进行设计；可熟练操作计   
算机， 熟练应用  office 、 CAD 、   
sketchup 等软件。
结构紧缺
供给紧缺
★★
双流区
邛崃市
金堂县
能源催化
研究员
电化学、
化学工程
与技术、
材料、环   
境 、 化      
学、金属
表面相关   
专业
硕士研究
生及以上
学历，5
年及以上
相关工作
经历
具备丰富的阴离子交换膜电解水制   
氢、废水制氢、天然气零碳制氢、氢   
氨转化等领域研发经验；具备较强   
的项目管理和专业技术能力，能独   
立开展研发工作；具备良好的英语   
能力；具备正高级职称或相当水平。
结构紧缺
动态紧缺
★★
天府新区    
高新区
彭州市
重点产业链人才开发目录◎◎第二章
-  77  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
PE 工程
师
高分子化
学与物     
理、材料
物理与化",32
《成都市人才开发指引（2025）》中，细胞生物总监岗位的人才紧缺类型是什么？,,"的内容；有 CRISPR-Cas9 基因编辑   
操作经验和高通量二代测序相关经   
验；具有实验室标准流程搭建、管理   
经验，理解掌握实验技术至数据分   
析流程。
数量紧缺
供给紧缺
动态紧缺
★★★
高新区
武侯区
成都市人才开发指引（2025）
9.3 生物技术应用
-  70  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
细胞生物   
总监
细胞生物
学、免疫
学相关专
业
博士研究
生及以上   
学历，
10 年及
以上相关
工作经历
具备非常丰富的细胞模型构建与功   
能评估、体外药理药效评价、药物早   
期发现等方面 CRO 或相关学术研   
究经验，对生物标记物发现、类器官   
药物评价、肿瘤免疫、代谢或 CNS   
疾病领域有深入研究；熟悉小分子、 
核酸药物、蛋白降解药物等相关药   
物研发流程；具备较强的适应新环   
境与学习能力。
数量紧缺
结构紧缺
供给紧缺
★★★ 高新区
体外电生
理平台实
验研究员
医学、生
物化学与
分子生物
化学、细   
胞 生 物      
学、生物
医学相关   
专业
博士研究
生及以上
学历，5
年及以上
相关工作
经历
熟练掌握并使用膜片钳（细胞器、细   
胞层面、组织层面）、多电极阵列、   
细胞学活性或药效学实验技术，了",33
